indicator,mentions,group,method,type,,,,,
Rubble,3,Benthos,Monitoring ,Biological ,,,,,
Rugosity/Complexity/Surface Area ,9,Benthos,Monitoring ,Biological ,,,,,
Significant Features,1,Benthos,Monitoring ,Biological ,,,,,
Substrate/Benthic Composition ,15,Benthos,Monitoring ,Biological ,,,,,
Habitat(Biodiversity),1,Benthos,MSP,Biological ,,,,,
Biochemical Processes In Coral,1,Coral,Monitoring ,Biological ,,,,,
Bleaching,19,Coral,Monitoring ,Biological ,benthos,28,1,,
Coral Colony Size,17,Coral,Monitoring ,Biological ,coral,145,5,,
Coral Cover ,50,Coral,Monitoring ,Biological ,DNA,1,0,,
Coral Species Diversity/Composition,17,Coral,Monitoring ,Biological ,Fauna,37,5,,
Dead Coral ,14,Coral,Monitoring ,Biological ,flora,33,1,,
Diseased Coral,15,Coral,Monitoring ,Biological ,fish,10,1,,
Juvenile Coral/New Recruits ,8,Coral,Monitoring ,Biological ,,,,,
Number Of Colonies ,1,Coral,Monitoring ,Biological ,,,,,
Soft Coral,3,Coral,Monitoring ,Biological ,,,,,
Coral Cover,2,Coral,MSP,Biological ,,,,,
Dead Coral ,1,Coral,MSP,Biological ,,,,,
Recovery Time,1,Coral,MSP,Biological ,,,,,
Juvenile Coral/New Recruits ,1,Coral,MSP,Biological ,,,,,
DNA,1,DNA,Monitoring ,Biological ,,,,,
Benthic Organisms,7,Fauna,Monitoring ,Biological ,,,,,
COTS,4,Fauna,Monitoring ,Biological ,,,,,
Focal Species,1,Fauna,Monitoring ,Biological ,,,,,
Grazer Population ,1,Fauna,Monitoring ,Biological ,,,,,
Herbivory/Grazer Species,7,Fauna,Monitoring ,Biological ,,,,,
Invasive Species,1,Fauna,Monitoring ,Biological ,,,,,
Lobster ,1,Fauna,Monitoring ,Biological ,,,,,
Monk Seal,1,Fauna,Monitoring ,Biological ,,,,,
Predators ,4,Fauna,Monitoring ,Biological ,,,,,
Turtles,2,Fauna,Monitoring ,Biological ,,,,,
Urchin Presence,8,Fauna,Monitoring ,Biological ,,,,,
Invasive Species,4,Fauna,MSP,Biological ,,,,,
Predators ,1,Fauna,MSP,Biological ,,,,,
Butterfly Fish,2,Fish,Monitoring ,Biological ,,,,,
Damselfish Numbers ,1,Fish,Monitoring ,Biological ,,,,,
Fish Bites,1,Fish,Monitoring ,Biological ,,,,,
Fish Counts Predators,1,Fish,Monitoring ,Biological ,,,,,
Fish Diversity & Abundance,1,Fish,Monitoring ,Biological ,,,,,
Fish Functional Groups,1,Fish,Monitoring ,Biological ,,,,,
Grouper ,1,Fish,Monitoring ,Biological ,,,,,
Parrotfish Abundance And Size ,1,Fish,Monitoring ,Biological ,,,,,
Reef Fish Endemism,1,Fish,Monitoring ,Biological ,,,,,
Density Of Fish ,1,Fish,MSP,Biological ,,,,,
Algal Cover,27,Flora,Monitoring ,Biological ,,,,,
Mangrove,1,Flora,Monitoring ,Biological ,,,,,
Marine Plants,1,Flora,Monitoring ,Biological ,,,,,
Seagrass/Seaweed,1,Flora,Monitoring ,Biological ,,,,,
Sponge,3,Flora,Monitoring ,Biological ,,,,,
Algal Cover,1,Flora,MSP,Biological ,,,,,
Acidification,2,Climate Change,MSP,Physical,,climate change,0,10,
DHW,2,Climate Change,MSP,Physical,,depth,10,0,
SST,4,Climate Change,MSP,Physical,,disturbance,7,7,
UV,2,Climate Change,MSP,Physical,,inputs,4,2,
Depth ,10,Depth,Monitoring ,Physical,,pollution,0,7,
Stressors,1,Disturbances,Monitoring ,Physical,,spatial,2,2,
Climate Change,1,Disturbances,Monitoring ,Physical,,temp,12,0,
Damaging Winds,5,Disturbances,Monitoring ,Physical,,water qual,52,7,
Cyclone Wave Damage,1,Disturbances,MSP,Physical,,,,,
Damaging Winds,1,Disturbances,MSP,Physical,,,,,
Frequency Of Disturbance Events,1,Disturbances,MSP,Physical,,,,,
Historical Data,1,Disturbances,MSP,Physical,,,,,
Projected Stressors,2,Disturbances,MSP,Physical,,,,,
