indicator,mentions,group,method,type
coral cover,50,coral,monitoring ,biological
Dead coral ,14,coral,monitoring ,biological
Bleaching,19,coral,monitoring ,biological
Algal cover ,27,algal cover,monitoring ,biological
substrate/benthic composition ,15,Benthos,monitoring ,biological
diseased ,15,coral,monitoring ,biological
colony size,17,coral,monitoring ,biological
coral species diversity/composition,17,coral,monitoring ,biological
Rugousity/complexity/surface area ,9,benthos,monitoring ,biological
urchin presence,8,fauna,monitoring ,biological
Herbivory/Grazer species,6,fauna,monitoring ,biological
predators ,4,fauna,monitoring ,biological
seagrass/seaweed,4,flora,monitoring ,biological
"benthic organisms, inverts (general) + grazers",7,fauna,monitoring ,biological
COTS,4,fauna,monitoring ,biological
rubble,3,benthos,monitoring ,biological
sponge,3,flora ,monitoring ,biological
Mangrove,3,flora,monitoring ,biological
soft coral,3,coral,monitoring ,biological
butterfly fish,2,fauna,monitoring ,biological
Turtles,2,fauna,monitoring ,biological
fish counts predators,1,fauna,monitoring ,biological
significant features,1,benthos,monitoring ,biological
marine plants,1,flora,monitoring ,biological
number of colonies ,1,coral,monitoring ,biological
parrotfish abundance and size ,1,fauna,monitoring ,biological
damselfish numbers ,1,fauna,monitoring ,biological
grazer population ,1,fauna,monitoring ,biological
lobster ,1,fauna,monitoring ,biological
grouper ,1,fauna,monitoring ,biological
reef fish endamism,1,fauna,monitoring ,biological
coral rarity ,1,coral,monitoring ,biological
fish bites,1,fauna,monitoring ,biological
DNA,1,DNA,monitoring ,biological
fish functional groups,1,fauna,monitoring ,biological
biochemical proceses in coral,1,coral,monitoring ,biological
monk seal,1,fauna,monitoring ,biological
focal species,1,fauna,monitoring ,biological
fish diveristy & abundance,1,fauna,monitoring ,biological
invasive species,1,fauna,monitoring ,biological
coral cover,2,coral,MSP,biological
habitat(biodiversity),1,benthos,MSP,biological
Dead coral ,1,coral,MSP,biological
recruitnemnt,1,coral,MSP,biological
recovery time,1,coral,MSP,biological
algal cover,1,algal cover,MSP,biological
density of fish ,1,fauna,MSP,biological
sedimentation ,15,,monitoring ,physical
SST,12,,monitoring ,physical
Water Quality ,13,,monitoring ,physical
Depth,10,,monitoring ,physical
Management status ,10,,monitoring ,socio-economic
Fishing pressure/impact ,8,,monitoring ,socio-economic
Historical disturbance data/human use ,8,,monitoring ,socio-economic
landuse,6,,monitoring ,socio-economic
Urban impact/Coastal development,5,,monitoring ,socio-economic
Runoff,5,,monitoring ,socio-economic
Damaging winds/cyclone,5,,monitoring ,physical
Salinity ,6,,monitoring ,physical
Wave expousure ,4,,monitoring ,physical
Shipping/Boat traffic,4,,monitoring ,socio-economic
tourism,4,,monitoring ,socio-economic
chloryhyl a,4,,monitoring ,physical
pollution,3,,monitoring ,socio-economic
nutrient loads ,3,,monitoring ,physical
seasonal vairation,2,,monitoring ,physical
Rainfall,2,,monitoring ,physical
Distance to shore,2,,monitoring ,socio-economic
fresh water impact,1,,monitoring ,physical
glenaing,1,,monitoring ,socio-economic
sandmining,1,,monitoring ,socio-economic
stressors,1,,monitoring ,physical
historical human use,1,,monitoring ,socio-economic
climate change,1,,monitoring ,physical
socio-economic status,1,,monitoring ,socio-economic
ocean colour,1,,monitoring ,physical
dredging ,1,,monitoring ,socio-economic
light,1,,monitoring ,physical
port activties,1,,monitoring ,socio-economic
terrestrial vegigation,1,,monitoring ,physical
radiation,1,,monitoring ,physical
tidal range,1,,monitoring ,physical
Recreational fishing,4,,MSP,socio-economic
Human use,1,,MSP,socio-economic
SST,4,,MSP,physical
DHW,2,,MSP,physical
human trampling ,3,,MSP,socio-economic
nutrient input,2,,MSP,physical
organic pollution ,3,,MSP,physical
inorganic pollution,3,,MSP,socio-economic
coastal engenieering,2,,MSP,socio-economic
coastal power plants ,2,,MSP,socio-economic
sediment decrease ,2,,MSP,physical
noise/light pollution,2,,MSP,physical
atmospheric deposition of pollutants ,2,,MSP,physical
commerical shipping ,2,,MSP,socio-economic
ocean based pollution,2,,MSP,physical
commerical fishing,2,,MSP,socio-economic
acidification,2,,MSP,physical
UV,2,,MSP,physical
DO,1,,MSP,physical
pH,1,,MSP,physical
radiation,1,,MSP,physical
diffuse attenuation,1,,MSP,physical
calcite,1,,MSP,physical
coastal development,1,,MSP,socio-economic
habours,1,,MSP,socio-economic
structures,1,,MSP,socio-economic
sewage,1,,MSP,socio-economic
aquaculture,1,,MSP,socio-economic
freshwater infulence,1,,MSP,physical
land based impacts,1,,MSP,socio-economic
historical data,1,,MSP,socio-economic
cyclone wave damage,1,,MSP,physical
ecosystem services,1,,MSP,socio-economic
habitat risk,1,,MSP,physical
water quality,1,,MSP,physical
management effectivness,1,,MSP,socio-economic
projected stressors,2,,MSP,physical
frequency of events,1,,MSP,physical
damaging winds,1,,MSP,physical
connectivity,2,,MSP,physical
"Piers, breakwaters and groynes/shoreline amouring",2,,MSP,socio-economic
Diamond/mineral mining,1,,MSP,socio-economic
Sand mining,1,,MSP,socio-economic
Groundwater extraction,1,,MSP,socio-economic
Reduced estuarine flow,1,,MSP,physical
Beach nourishment,1,,MSP,physical
Solid waste (litter),1,,MSP,socio-economic
Harvesting of invertebrates,1,,MSP,socio-economic
Kelp/wrack/seaweed harvesting,1,,MSP,socio-economic
gleaning,1,,MSP,physical
Beach driving,1,,MSP,socio-economic
Road density ,1,,MSP,socio-economic
logged area ,1,,MSP,socio-economic
urban area ,1,,MSP,socio-economic
agricultural area ,1,,MSP,socio-economic
